"tabla","pk_columna","pk_valor","columna","valor_actual","valor_propuesto"
"erp_catalogo_productos","id_producto_erp","1490","descripcion","<p>Alimento hojuela b├â┬ísicas mini</p><p>Cantidad: 10 gramos</p><p><br></p><p>Descripci├â┬│n:</p><p><span style=""color: rgb(102, 102, 102);"">Dedicado a la excelencia en nutrici├â┬│n para los peces tropicales.</span></p><p><span style=""color: rgb(102, 102, 102);"">Realza los colores de los peces.</span></p><p><span style=""color: rgb(102, 102, 102);"">Digestibilidad mejorada.</span></p><p><span style=""color: rgb(102, 102, 102);"">F├â┬│rmula avanzada ├óÔé¼┼ôC├óÔé¼┬Ø </span></p><p><br></p><p><span style=""color: rgb(102, 102, 102);"">├»┬╗┬┐Instrucciones de alimentaci├â┬│n:</span></p><p><span style=""color: rgb(102, 102, 102);"">Se debe dar de comer a los peces var├â┬¡as veces al d├â┬¡a.</span></p><p><span style=""color: rgb(102, 102, 102);"">No les de m├â┬ís de lo que consuman en 5 min.</span></p><p><span style=""color: rgb(102, 102, 102);"">Las hojuelas B├â┬ísicas no enturbian el agua si se dispensan adecuadamente.</span></p><p><br></p><p><br></p>","<p>Alimento hojuela básicas mini</p><p>Cantidad: 10 gramos</p><p><br></p><p>Descripción:</p><p><span style=""color: rgb(102, 102, 102);"">Dedicado a la excelencia en nutrición para los peces tropicales.</span></p><p><span style=""color: rgb(102, 102, 102);"">Realza los colores de los peces.</span></p><p><span style=""color: rgb(102, 102, 102);"">Digestibilidad mejorada.</span></p><p><span style=""color: rgb(102, 102, 102);"">Fórmula avanzada �C� </span></p><p><br></p><p><span style=""color: rgb(102, 102, 102);"">﻿Instrucciones de alimentación:</span></p><p><span style=""color: rgb(102, 102, 102);"">Se debe dar de comer a los peces varías veces al día.</span></p><p><span style=""color: rgb(102, 102, 102);"">No les de más de lo que consuman en 5 min.</span></p><p><span style=""color: rgb(102, 102, 102);"">Las hojuelas Básicas no enturbian el agua si se dispensan adecuadamente.</span></p><p><br></p><p><br></p>"
"erp_catalogo_productos","id_producto_erp","1491","descripcion","<p>Alimento hojuela b├â┬ísica chico</p><p>Cantidad: 20 gramos</p><p><br></p><p>Descripci├â┬│n:</p><p><span style=""color: rgb(102, 102, 102);"">Dedicado a la excelencia en nutrici├â┬│n para los peces tropicales.</span></p><p><span style=""color: rgb(102, 102, 102);"">Realza los colores de los peces.</span></p><p><span style=""color: rgb(102, 102, 102);"">Digestibilidad mejorada.</span></p><p><span style=""color: rgb(102, 102, 102);"">F├â┬│rmula avanzada ├óÔé¼┼ôC├óÔé¼┬Ø </span></p><p><br></p><p><span style=""color: rgb(102, 102, 102);"">├»┬╗┬┐Instrucciones de alimentaci├â┬│n:</span></p><p><span style=""color: rgb(102, 102, 102);"">Se debe dar de comer a los peces var├â┬¡as veces al d├â┬¡a.</span></p><p><span style=""color: rgb(102, 102, 102);"">No les de m├â┬ís de lo que consuman en 5 min.</span></p><p><span style=""color: rgb(102, 102, 102);"">Las hojuelas B├â┬ísicas no enturbian el agua si se dispensan adecuadamente.</span></p><p><br></p><p><br></p>","<p>Alimento hojuela básica chico</p><p>Cantidad: 20 gramos</p><p><br></p><p>Descripción:</p><p><span style=""color: rgb(102, 102, 102);"">Dedicado a la excelencia en nutrición para los peces tropicales.</span></p><p><span style=""color: rgb(102, 102, 102);"">Realza los colores de los peces.</span></p><p><span style=""color: rgb(102, 102, 102);"">Digestibilidad mejorada.</span></p><p><span style=""color: rgb(102, 102, 102);"">Fórmula avanzada �C� </span></p><p><br></p><p><span style=""color: rgb(102, 102, 102);"">﻿Instrucciones de alimentación:</span></p><p><span style=""color: rgb(102, 102, 102);"">Se debe dar de comer a los peces varías veces al día.</span></p><p><span style=""color: rgb(102, 102, 102);"">No les de más de lo que consuman en 5 min.</span></p><p><span style=""color: rgb(102, 102, 102);"">Las hojuelas Básicas no enturbian el agua si se dispensan adecuadamente.</span></p><p><br></p><p><br></p>"
"erp_catalogo_productos","id_producto_erp","1492","descripcion","<p>Alimento hojuela tropical chico</p><p>Cantidad: 20 gramos</p><p><br></p><p><span style=""color: rgb(102, 102, 102);"">Descripci├â┬│n:</span></p><p><span style=""color: rgb(102, 102, 102);"">Hojuelas basicas para peces tropicales </span></p><p><span style=""color: rgb(102, 102, 102);"">Brinda las prote├â┬¡nas necesarias con sus multi-ingredientes que aportan la nutrici├â┬│n necesaria diaria para tus peces.</span></p><p><span style=""color: rgb(102, 102, 102);"">Elaborados con ingredientes de calidad superior.</span></p>","<p>Alimento hojuela tropical chico</p><p>Cantidad: 20 gramos</p><p><br></p><p><span style=""color: rgb(102, 102, 102);"">Descripción:</span></p><p><span style=""color: rgb(102, 102, 102);"">Hojuelas basicas para peces tropicales </span></p><p><span style=""color: rgb(102, 102, 102);"">Brinda las proteínas necesarias con sus multi-ingredientes que aportan la nutrición necesaria diaria para tus peces.</span></p><p><span style=""color: rgb(102, 102, 102);"">Elaborados con ingredientes de calidad superior.</span></p>"
"erp_catalogo_productos","id_producto_erp","1493","descripcion","<p>Alimento hojuela tropical mediano</p><p>Cantidad: 33 gramos</p><p><br></p><p><span style=""color: rgb(102, 102, 102);"">Descripci├â┬│n:</span></p><p><span style=""color: rgb(102, 102, 102);"">Hojuelas basicas para peces tropicales </span></p><p><span style=""color: rgb(102, 102, 102);"">Brinda las prote├â┬¡nas necesarias con sus multi-ingredientes que aportan la nutrici├â┬│n necesaria diaria para tus peces.</span></p><p><span style=""color: rgb(102, 102, 102);"">Elaborados con ingredientes de calidad superior.</span></p>","<p>Alimento hojuela tropical mediano</p><p>Cantidad: 33 gramos</p><p><br></p><p><span style=""color: rgb(102, 102, 102);"">Descripción:</span></p><p><span style=""color: rgb(102, 102, 102);"">Hojuelas basicas para peces tropicales </span></p><p><span style=""color: rgb(102, 102, 102);"">Brinda las proteínas necesarias con sus multi-ingredientes que aportan la nutrición necesaria diaria para tus peces.</span></p><p><span style=""color: rgb(102, 102, 102);"">Elaborados con ingredientes de calidad superior.</span></p>"
"erp_catalogo_productos","id_producto_erp","1494","descripcion","<p>Alimento hojuela tropical mini</p><p>Cantidad: 10 gramos</p><p><br></p><p><span style=""color: rgb(102, 102, 102);"">Descripci├â┬│n:</span></p><p><span style=""color: rgb(102, 102, 102);"">Hojuelas basicas para peces tropicales </span></p><p><span style=""color: rgb(102, 102, 102);"">Brinda las prote├â┬¡nas necesarias con sus multi-ingredientes que aportan la nutrici├â┬│n necesaria diaria para tus peces.</span></p><p><span style=""color: rgb(102, 102, 102);"">Elaborados con ingredientes de calidad superior.</span></p>","<p>Alimento hojuela tropical mini</p><p>Cantidad: 10 gramos</p><p><br></p><p><span style=""color: rgb(102, 102, 102);"">Descripción:</span></p><p><span style=""color: rgb(102, 102, 102);"">Hojuelas basicas para peces tropicales </span></p><p><span style=""color: rgb(102, 102, 102);"">Brinda las proteínas necesarias con sus multi-ingredientes que aportan la nutrición necesaria diaria para tus peces.</span></p><p><span style=""color: rgb(102, 102, 102);"">Elaborados con ingredientes de calidad superior.</span></p>"
"erp_catalogo_productos","id_producto_erp","1495","descripcion","<p>Alimento para cuyo (cavia, cobaya,)premium</p><p>Cantidad: 750gr</p><p><br></p><p>Descipci├â┬│n:</p><p>Comida con la adiccion de cerales, frutas y verduras.</p><p>Belleza y cuidado</p><p>Digesti├â┬│n ├â┬│ptima</p><p>Inmunidad pro</p><p><br></p><p><span style=""color: rgb(102, 102, 102);"">Alimento completo para cobayas a base de granulados con alfalfa, manzana y adici├â┬│n de verduras, frutas secas ricas en vitaminas y hierbas arom├â┬íticas</span></p><p><span style=""color: rgb(102, 102, 102);"">Las semillas de linaza ricas en ├â┬ícidos grasos insaturados dan el aspecto saludable a la piel y el brillo al pelo </span></p><p><span style=""color: rgb(102, 102, 102);"">alimento enriquecido con vitamina C dimento</span></p><p><span style=""color: rgb(102, 102, 102);"">El alto contenido de fibra y la adici├â┬│n de remolacha y hierbas regulan la digesti├â┬│n las propiedades prebi├â┬│ticas de muchos ingredientes del alimento estimulan el desarrollo de la flora intestinal y apoyan al sistema inmunitario de las cobayas</span></p><p><span style=""color: rgb(102, 102, 102);"">El alimento no contiene componentes gen├â┬®ticamente modificados (OGM), conservantes, potenciadores del sabor, adici├â┬│n de az├â┬║car ni aromas</span></p><p><br></p><p><span style=""color: rgb(102, 102, 102);"">Alimentaci├â┬│n: alimentar dos veces al dia, 30-50 g/d├â┬¡a. Garantizar el acceso permanente al heno y agua.</span></p><p><br></p>","<p>Alimento para cuyo (cavia, cobaya,)premium</p><p>Cantidad: 750gr</p><p><br></p><p>Descipción:</p><p>Comida con la adiccion de cerales, frutas y verduras.</p><p>Belleza y cuidado</p><p>Digestión óptima</p><p>Inmunidad pro</p><p><br></p><p><span style=""color: rgb(102, 102, 102);"">Alimento completo para cobayas a base de granulados con alfalfa, manzana y adición de verduras, frutas secas ricas en vitaminas y hierbas aromáticas</span></p><p><span style=""color: rgb(102, 102, 102);"">Las semillas de linaza ricas en ácidos grasos insaturados dan el aspecto saludable a la piel y el brillo al pelo </span></p><p><span style=""color: rgb(102, 102, 102);"">alimento enriquecido con vitamina C dimento</span></p><p><span style=""color: rgb(102, 102, 102);"">El alto contenido de fibra y la adición de remolacha y hierbas regulan la digestión las propiedades prebióticas de muchos ingredientes del alimento estimulan el desarrollo de la flora intestinal y apoyan al sistema inmunitario de las cobayas</span></p><p><span style=""color: rgb(102, 102, 102);"">El alimento no contiene componentes genéticamente modificados (OGM), conservantes, potenciadores del sabor, adición de azúcar ni aromas</span></p><p><br></p><p><span style=""color: rgb(102, 102, 102);"">Alimentación: alimentar dos veces al dia, 30-50 g/día. Garantizar el acceso permanente al heno y agua.</span></p><p><br></p>"
"erp_catalogo_productos","id_producto_erp","1496","descripcion","<p>Arenero royal</p><p>Medidas: 52 x 57 x 37cm (largo x ancho x alto)</p><p><br></p><p>Descipci├â┬│n:</p><p>Desmontable con una compuerta integrada tipo tunel/ casita.</p><p>Absorbe malos olores y evita que se propaguen al exterior, Compatible con cualquier tipo de arena. F├â┬ícil armado y limpieza.</p><p>Dise├â┬▒o vanguardista y exclusivo Adaptable a cualquier espacio.</p><p>Incluye pala.</p><p><br></p><p>Colores: verde, azul, amarillo (sujetos a disponibilidad)</p>","<p>Arenero royal</p><p>Medidas: 52 x 57 x 37cm (largo x ancho x alto)</p><p><br></p><p>Descipción:</p><p>Desmontable con una compuerta integrada tipo tunel/ casita.</p><p>Absorbe malos olores y evita que se propaguen al exterior, Compatible con cualquier tipo de arena. Fácil armado y limpieza.</p><p>Diseño vanguardista y exclusivo Adaptable a cualquier espacio.</p><p>Incluye pala.</p><p><br></p><p>Colores: verde, azul, amarillo (sujetos a disponibilidad)</p>"
"erp_catalogo_productos","id_producto_erp","1497","descripcion","<p>Barra de semillas</p><p>Para: loros, cacat├â┬║as y conuros</p><p>Cantidad: 100 grs</p><p><br></p><p>Descripcion: Son un snack elaborado con una mezcla de semillas exclusivas y balanceadas para este tipo de aves que los nutrir├â┬í al mismo tiempo que estimulan su curiosidad y acatividad.</p><p>Fortificado con vitaminas y minerales</p><p>F├â┬│rmula 100% natural balanceada</p><p>Con practico gancho que permite colocarla dentro de la jaula,&nbsp;</p>","<p>Barra de semillas</p><p>Para: loros, cacatúas y conuros</p><p>Cantidad: 100 grs</p><p><br></p><p>Descripcion: Son un snack elaborado con una mezcla de semillas exclusivas y balanceadas para este tipo de aves que los nutrirá al mismo tiempo que estimulan su curiosidad y acatividad.</p><p>Fortificado con vitaminas y minerales</p><p>Fórmula 100% natural balanceada</p><p>Con practico gancho que permite colocarla dentro de la jaula,&nbsp;</p>"
"erp_catalogo_productos","id_producto_erp","1498","descripcion","<p>Comedero dispensador gri chico</p><p>Capacidad: 3.5 grs</p><p>Medidas: 38 x 22.5 x 30cm ( largo x ancho x alto)</p><p><br></p><p>Descripci├â┬│n: comedero para razas grandes y medianas de alta calidad y dise├â┬▒o.</p>","<p>Comedero dispensador gri chico</p><p>Capacidad: 3.5 grs</p><p>Medidas: 38 x 22.5 x 30cm ( largo x ancho x alto)</p><p><br></p><p>Descripción: comedero para razas grandes y medianas de alta calidad y diseño.</p>"
"erp_catalogo_productos","id_producto_erp","1499","descripcion","<p>Bebedero dispensador gri chico</p><p>Capacidad: 3.5 grs</p><p>Medidas: 38 x 22.5 x 30cm ( largo x ancho x alto)</p><p><br></p><p>Descripci├â┬│n: bebedero para razas grandes y medianas de alta calidad y dise├â┬▒o.</p>","<p>Bebedero dispensador gri chico</p><p>Capacidad: 3.5 grs</p><p>Medidas: 38 x 22.5 x 30cm ( largo x ancho x alto)</p><p><br></p><p>Descripción: bebedero para razas grandes y medianas de alta calidad y diseño.</p>"
"erp_catalogo_productos","id_producto_erp","1500","descripcion","<p>Dispensador gard</p><p>Capacidad: 500 ml</p><p><br></p><p>Descripci├â┬│n:</p><p>Bebedero y comederode pl├â┬ístico de excelente calidad seguro y no toxico, no es dani├â┬▒o con dise├â┬▒o 3 en 1 de facil limpieza</p>","<p>Dispensador gard</p><p>Capacidad: 500 ml</p><p><br></p><p>Descripción:</p><p>Bebedero y comederode plástico de excelente calidad seguro y no toxico, no es daniño con diseño 3 en 1 de facil limpieza</p>"
"erp_catalogo_productos","id_producto_erp","1501","descripcion","<p>Bebedero y comedero avoca</p><p>Capacidad: 500 ml</p><p>Color: verde con amarillo </p><p><br></p><p>Descripci├â┬│n:</p><p>Bebedero y comederode pl├â┬ístico de excelente calidad seguro y no toxico y no es dani├â┬▒o para la salud de la mascota  tazon desmontable para facilitar su limpieza, comedero con compartimento para latas.</p>","<p>Bebedero y comedero avoca</p><p>Capacidad: 500 ml</p><p>Color: verde con amarillo </p><p><br></p><p>Descripción:</p><p>Bebedero y comederode plástico de excelente calidad seguro y no toxico y no es daniño para la salud de la mascota  tazon desmontable para facilitar su limpieza, comedero con compartimento para latas.</p>"
"erp_catalogo_productos","id_producto_erp","1502","descripcion","<p>Bozal para perro </p><p>Talla: grande </p><p>Medidas: 21.6 cm Circuferencia del hocico</p><p><br></p><p>Descripci├â┬│n:</p><p>Resistente y seguro c├â┬│modo para su mascota</p>","<p>Bozal para perro </p><p>Talla: grande </p><p>Medidas: 21.6 cm Circuferencia del hocico</p><p><br></p><p>Descripción:</p><p>Resistente y seguro cómodo para su mascota</p>"
"erp_catalogo_productos","id_producto_erp","1503","descripcion","<p>Bozal para perro</p><p>Talla: extra grande</p><p>Medidas: 24.13 cm Circuferencia del hocico</p><p><br></p><p>Descripci├â┬│n:</p><p>Resistente y seguro c├â┬│modo para su mascota</p>","<p>Bozal para perro</p><p>Talla: extra grande</p><p>Medidas: 24.13 cm Circuferencia del hocico</p><p><br></p><p>Descripción:</p><p>Resistente y seguro cómodo para su mascota</p>"
"erp_catalogo_productos","id_producto_erp","1504","descripcion","<p>Cama fruti kiwi grande</p><p><br></p><p>Descripci├â┬│n:</p><p>Cama para perros gatos y m├â┬ís, frescas, acolchonadas con un dise├â┬▒o frutal y divertido.</p><p>Comoda cama de poli├â┬®ster suave y estampado, con base impermeable, con cierre para facilitar su limpieza.</p>","<p>Cama fruti kiwi grande</p><p><br></p><p>Descripción:</p><p>Cama para perros gatos y más, frescas, acolchonadas con un diseño frutal y divertido.</p><p>Comoda cama de poliéster suave y estampado, con base impermeable, con cierre para facilitar su limpieza.</p>"
"erp_catalogo_productos","id_producto_erp","1505","descripcion","<p>Cama fruti limon chica</p><p><br></p><p>Descripci├â┬│n:</p><p>Cama para perros gatos y m├â┬ís, frescas, acolchonadas con un dise├â┬▒o frutal y divertido.</p><p>Comoda cama de poli├â┬®ster suave y estampado, con base impermeable, con cierre para facilitar su limpieza.</p>","<p>Cama fruti limon chica</p><p><br></p><p>Descripción:</p><p>Cama para perros gatos y más, frescas, acolchonadas con un diseño frutal y divertido.</p><p>Comoda cama de poliéster suave y estampado, con base impermeable, con cierre para facilitar su limpieza.</p>"
"erp_catalogo_productos","id_producto_erp","1506","descripcion","<p>Cama fruti toronja mediana</p><p><br></p><p>Descripci├â┬│n:</p><p>Cama para perros gatos y m├â┬ís, frescas, acolchonadas con un dise├â┬▒o frutal y divertido.</p><p>Comoda cama de poli├â┬®ster suave y estampado, con base impermeable, con cierre para facilitar su limpieza.</p>","<p>Cama fruti toronja mediana</p><p><br></p><p>Descripción:</p><p>Cama para perros gatos y más, frescas, acolchonadas con un diseño frutal y divertido.</p><p>Comoda cama de poliéster suave y estampado, con base impermeable, con cierre para facilitar su limpieza.</p>"
"erp_catalogo_productos","id_producto_erp","1507","descripcion","<p>Alimentador de h├â┬ímster y cuyo</p><p>Capacidad: 200 ml</p><p>Medidas: 12.5 x 7 x 13 cm (largo x ancho x alto)</p><p>Di├â┬ímetro del clindro: 7.5cm</p><p>Color: azul</p><p><br></p><p>Descripci├â┬│n:</p><p>Alimentador de h├â┬ímster por gravedad conforme se alimenta baja sus semillas.</p><p><br></p>","<p>Alimentador de hámster y cuyo</p><p>Capacidad: 200 ml</p><p>Medidas: 12.5 x 7 x 13 cm (largo x ancho x alto)</p><p>Diámetro del clindro: 7.5cm</p><p>Color: azul</p><p><br></p><p>Descripción:</p><p>Alimentador de hámster por gravedad conforme se alimenta baja sus semillas.</p><p><br></p>"
"erp_catalogo_productos","id_producto_erp","1508","descripcion","<p>Correa rectractil grande</p><p>Color: rojo</p><p><br></p><p>Descripci├â┬│n:</p><p>Incluye bot├â┬│n de seguridad en el mango para ajustar la cuerda, bloqueando y desbloqueando su prolongaci├â┬│n de acuerdo con las necesidades del paseo.</p><p>Mango y asa de pl├â┬ístico c├â┬│modas al manejo.</p><p>Cuerda de nailon de 5 m de longitud con resistencia a la tensi├â┬│n, durable.</p><p>Gancho met├â┬ílico.</p><p>Hasta para 25 kg de peso.&nbsp;</p>","<p>Correa rectractil grande</p><p>Color: rojo</p><p><br></p><p>Descripción:</p><p>Incluye botón de seguridad en el mango para ajustar la cuerda, bloqueando y desbloqueando su prolongación de acuerdo con las necesidades del paseo.</p><p>Mango y asa de plástico cómodas al manejo.</p><p>Cuerda de nailon de 5 m de longitud con resistencia a la tensión, durable.</p><p>Gancho metálico.</p><p>Hasta para 25 kg de peso.&nbsp;</p>"
"erp_catalogo_productos","id_producto_erp","1509","descripcion","<p>Croqueta nucan cahorro razas peque├â┬▒as</p><p><br></p><p>Descripci├â┬│n:</p><p><span style=""color: rgba(0, 0, 0, 0.55);"">perfecta para cuidar la alimentaci├â┬│n de tu mascota. Dise├â┬▒ado espec├â┬¡ficamente para cachorros de razas peque├â┬▒as, este alimento seco de alta calidad contiene ingredientes premium como carne, aceite de ave, ma├â┬¡z y vegetales, garantizando una nutrici├â┬│n balanceada y deliciosa, con un atractivo sabor a frutos rojos. Su f├â┬│rmula aporta un 27% de prote├â┬¡na bruta, el nivel ├â┬│ptimo para el crecimiento saludable de tu perrito.</span></p>","<p>Croqueta nucan cahorro razas pequeñas</p><p><br></p><p>Descripción:</p><p><span style=""color: rgba(0, 0, 0, 0.55);"">perfecta para cuidar la alimentación de tu mascota. Diseñado específicamente para cachorros de razas pequeñas, este alimento seco de alta calidad contiene ingredientes premium como carne, aceite de ave, maíz y vegetales, garantizando una nutrición balanceada y deliciosa, con un atractivo sabor a frutos rojos. Su fórmula aporta un 27% de proteína bruta, el nivel óptimo para el crecimiento saludable de tu perrito.</span></p>"
